"site_name","site_id","device_name","device_id","phase_name","phase_id","start_time","end_time","alarm_info","value_max"
"英图风电场","xoyzYv2u","#112","7LeK9hxC","英图Ⅲ期","ufPXJ9G7","2024-08-09 13:20:00","2024-08-09 19:10:00","发电机绕组温度1高","160.4"
"英图风电场","xoyzYv2u","#112","7LeK9hxC","英图Ⅲ期","ufPXJ9G7","2024-08-10 14:20:00","2024-08-10 21:00:00","发电机绕组温度1高","160.3"
"英图风电场","xoyzYv2u","#112","7LeK9hxC","英图Ⅲ期","ufPXJ9G7","2024-08-11 05:00:00","2024-08-11 20:30:00","发电机绕组温度1高","158.9"
"英图风电场","xoyzYv2u","#112","7LeK9hxC","英图Ⅲ期","ufPXJ9G7","2024-09-13 20:20:00","2024-09-13 21:20:00","发电机绕组温度1高","151.6"
"英图风电场","xoyzYv2u","#112","7LeK9hxC","英图Ⅲ期","ufPXJ9G7","2024-10-09 15:30:00","2024-10-09 21:40:00","发电机绕组温度1高","157.2"
"英图风电场","xoyzYv2u","#112","7LeK9hxC","英图Ⅲ期","ufPXJ9G7","2024-10-21 02:40:00","2024-10-21 04:10:00","发电机绕组温度1高","151.2"
"英图风电场","xoyzYv2u","#133","BKu2cRiz","英图Ⅲ期","ufPXJ9G7","2024-08-10 13:20:00","2024-08-10 22:10:00","发电机绕组温度1高","150.4"
"英图风电场","xoyzYv2u","#133","BKu2cRiz","英图Ⅲ期","ufPXJ9G7","2024-08-11 03:20:00","2024-08-11 22:40:00","发电机绕组温度1高","150.4"
"英图风电场","xoyzYv2u","#133","BKu2cRiz","英图Ⅲ期","ufPXJ9G7","2024-10-09 16:20:00","2024-10-09 23:00:00","发电机绕组温度1高","154.3"
"英图风电场","xoyzYv2u","#132","CQjLVw8o","英图Ⅲ期","ufPXJ9G7","2024-10-09 16:50:00","2024-10-09 22:50:00","发电机绕组温度1高","152.4"
"英图风电场","xoyzYv2u","#115","JF3O3JIL","英图Ⅲ期","ufPXJ9G7","2024-10-09 17:00:00","2024-10-09 18:40:00","发电机绕组温度1高","152.7"
"英图风电场","xoyzYv2u","#117","KQtk3uWd","英图Ⅲ期","ufPXJ9G7","2024-10-09 16:00:00","2024-10-09 22:20:00","发电机绕组温度1高","153.2"
"英图风电场","xoyzYv2u","#118","S86gDejZ","英图Ⅲ期","ufPXJ9G7","2024-08-09 16:40:00","2024-08-09 18:50:00","发电机绕组温度1高","150.0"
"英图风电场","xoyzYv2u","#118","S86gDejZ","英图Ⅲ期","ufPXJ9G7","2024-08-11 14:00:00","2024-08-11 15:10:00","发电机绕组温度1高","150.0"
"英图风电场","xoyzYv2u","#116","caB9uXxy","英图Ⅲ期","ufPXJ9G7","2024-05-13 18:20:00","2024-05-13 19:10:00","发电机绕组温度1高","150.6"
"英图风电场","xoyzYv2u","#116","caB9uXxy","英图Ⅲ期","ufPXJ9G7","2024-05-16 17:30:00","2024-05-16 19:00:00","发电机绕组温度1高","150.5"
"英图风电场","xoyzYv2u","#116","caB9uXxy","英图Ⅲ期","ufPXJ9G7","2024-05-25 22:30:00","2024-05-25 23:50:00","发电机绕组温度1高","150.1"
"英图风电场","xoyzYv2u","#116","caB9uXxy","英图Ⅲ期","ufPXJ9G7","2024-05-26 00:00:00","2024-05-26 01:40:00","发电机绕组温度1高","150.1"
"英图风电场","xoyzYv2u","#116","caB9uXxy","英图Ⅲ期","ufPXJ9G7","2024-05-30 14:40:00","2024-05-30 19:50:00","发电机绕组温度1高","150.4"
"英图风电场","xoyzYv2u","#116","caB9uXxy","英图Ⅲ期","ufPXJ9G7","2024-06-05 13:20:00","2024-06-05 18:30:00","发电机绕组温度1高","150.3"
"英图风电场","xoyzYv2u","#116","caB9uXxy","英图Ⅲ期","ufPXJ9G7","2024-06-22 11:40:00","2024-06-22 17:20:00","发电机绕组温度1高","150.3"
"英图风电场","xoyzYv2u","#116","caB9uXxy","英图Ⅲ期","ufPXJ9G7","2024-06-26 21:00:00","2024-06-26 21:30:00","发电机绕组温度1高","150.2"
"英图风电场","xoyzYv2u","#116","caB9uXxy","英图Ⅲ期","ufPXJ9G7","2024-07-17 20:30:00","2024-07-17 21:40:00","发电机绕组温度1高","150.4"
"英图风电场","xoyzYv2u","#116","caB9uXxy","英图Ⅲ期","ufPXJ9G7","2024-08-09 13:10:00","2024-08-09 22:50:00","发电机绕组温度1高","150.5"
"英图风电场","xoyzYv2u","#116","caB9uXxy","英图Ⅲ期","ufPXJ9G7","2024-08-10 00:00:00","2024-08-10 19:10:00","发电机绕组温度1高","150.3"
"英图风电场","xoyzYv2u","#116","caB9uXxy","英图Ⅲ期","ufPXJ9G7","2024-08-11 05:00:00","2024-08-11 20:30:00","发电机绕组温度1高","150.4"
"英图风电场","xoyzYv2u","#116","caB9uXxy","英图Ⅲ期","ufPXJ9G7","2024-08-31 13:30:00","2024-08-31 14:30:00","发电机绕组温度1高","150.4"
"英图风电场","xoyzYv2u","#116","caB9uXxy","英图Ⅲ期","ufPXJ9G7","2024-10-09 15:50:00","2024-10-09 22:50:00","发电机绕组温度1高","156.9"
